date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,88.5,94.6,137.2,101.8,87.8,103.7,96.1,101.9,103.3,96.3,97.3,98.8,98.9,86.8,102.3,94.0,101.3,92.9,95.8,102.2,76.4,106.8,102.0,96.5,98.9,93.7,94.0,80.5,101.2,107.0,97.4,94.7,102.5,88.1,90.2,96.6,91.3,99.1,89.4,102.2,99.5,90.9,96.9,96.5,103.8,88.5,108.7,102.5,100.0,97.3,104.0,100.4,99.7,93.1,94.2,103.1,91.5,88.4,102.9,93.2,103.5,101.8,89.5,104.7,90.9,90.0,92.7,96.2,89.6,102.3,95.7,101.5,96.1,91.7,95.1,99.4,95.0,97.2,74.6,100.2,94.4,99.7,92.0,76.9,94.5,97.9
2010-06-01,90.8,95.3,130.2,100.6,88.3,103.5,97.2,100.5,103.3,95.6,97.6,100.1,99.2,87.1,102.5,94.5,101.2,93.9,91.7,100.9,72.1,108.7,98.4,98.9,97.9,92.6,89.2,76.8,103.5,105.5,99.2,96.7,103.6,88.1,98.5,97.9,100.4,101.9,89.5,102.8,100.8,93.1,97.0,97.0,103.0,93.5,110.2,103.1,100.3,98.4,101.6,103.2,100.0,93.6,95.0,103.0,93.4,88.4,100.4,96.4,102.3,98.4,89.5,102.8,90.9,90.0,94.3,96.3,89.6,102.8,97.8,101.4,96.6,91.9,95.2,99.3,95.0,97.1,86.1,100.9,94.4,95.2,93.7,76.9,96.5,97.9
2010-09-01,93.1,96.2,128.7,101.0,84.3,103.1,97.7,100.9,102.7,97.4,98.1,100.2,97.4,88.7,100.5,94.5,99.4,95.6,91.7,102.2,75.3,108.7,100.9,98.1,92.6,103.8,95.4,78.2,106.1,104.7,100.1,101.6,102.8,93.1,99.3,98.4,101.5,98.7,92.6,104.6,96.2,92.6,97.2,97.5,103.1,93.7,110.6,102.6,100.7,98.7,100.6,103.5,97.7,94.1,94.7,103.5,94.5,91.8,101.7,95.6,98.2,98.4,95.2,104.6,91.0,94.6,94.8,96.8,89.6,105.1,99.4,100.9,97.2,94.2,95.5,98.8,95.0,97.5,92.8,100.0,96.0,93.5,94.3,87.7,96.6,98.4
2010-12-01,82.1,96.5,124.2,100.5,86.8,100.9,98.9,102.1,104.6,96.8,98.0,97.3,100.4,90.2,98.4,95.5,99.3,95.5,98.1,99.5,76.6,105.9,100.2,96.7,95.5,94.3,89.4,88.7,101.3,104.6,102.2,101.2,100.5,93.1,96.4,98.6,100.7,100.0,92.7,103.0,99.4,95.0,95.9,98.3,102.0,93.8,108.4,102.5,100.6,101.1,103.2,99.3,95.7,94.8,92.6,102.6,95.3,93.8,100.6,94.6,92.5,103.6,95.2,105.0,91.0,94.6,95.8,97.1,89.6,101.2,100.9,100.6,98.1,95.1,95.8,98.8,95.0,97.6,93.5,101.0,96.0,98.4,96.1,87.7,98.3,98.5
2011-03-01,85.0,98.1,115.5,99.5,94.0,100.4,99.1,102.3,104.3,99.8,99.9,97.8,100.5,90.8,97.8,97.9,103.6,96.4,96.1,101.2,91.3,102.7,100.4,99.3,81.7,99.5,99.3,99.8,96.5,104.8,95.8,94.9,100.5,93.1,92.6,98.8,93.1,104.3,93.4,100.3,100.5,99.7,96.0,98.5,102.6,94.4,102.2,102.6,101.2,101.0,101.2,104.1,99.0,95.2,95.6,103.0,96.1,93.8,101.8,93.5,103.4,103.7,95.2,106.6,97.1,94.6,96.7,98.0,96.1,102.3,102.0,100.1,99.1,96.0,97.7,99.0,97.8,98.2,94.7,100.7,96.0,111.8,97.6,87.7,99.2,99.8
2011-06-01,96.0,99.0,107.4,100.7,98.9,100.5,99.5,100.1,99.7,97.0,99.9,100.8,101.7,91.8,99.1,98.6,95.3,98.0,96.2,99.6,84.3,102.4,98.2,99.6,98.8,98.9,88.0,136.7,100.1,104.3,100.9,103.3,102.9,93.1,100.8,98.6,106.0,99.1,96.1,99.6,97.2,103.9,96.4,99.0,99.5,98.8,98.9,102.6,100.8,101.8,99.9,99.8,97.5,97.7,97.9,100.9,98.9,92.3,99.8,97.6,102.5,102.0,97.2,104.6,97.1,94.6,98.2,98.2,96.1,101.6,101.2,101.0,98.8,95.8,98.1,99.4,97.8,98.4,96.0,100.1,98.1,103.1,97.9,87.7,100.1,100.3
2011-09-01,103.1,100.0,107.9,98.4,97.4,99.9,99.4,101.8,99.9,94.3,98.9,99.3,102.4,94.4,101.2,101.7,95.0,98.3,99.0,100.1,93.9,99.8,96.9,99.4,103.3,101.3,100.4,136.0,101.6,103.1,103.4,100.9,102.5,98.1,101.6,99.1,104.5,98.2,98.8,104.8,101.4,102.9,98.4,99.5,102.7,98.7,98.6,100.5,100.0,99.9,99.4,100.4,98.1,99.4,99.8,101.0,99.2,99.1,101.0,100.3,98.3,102.7,99.5,103.0,97.2,100.0,98.8,98.8,96.1,103.4,100.2,99.7,98.7,98.7,99.1,99.2,97.8,100.0,97.9,99.6,100.0,103.0,99.7,100.0,99.1,98.8
2011-12-01,96.3,100.0,101.7,101.4,98.5,99.3,100.0,101.2,99.8,99.2,104.0,99.7,101.2,96.8,101.3,98.9,101.4,99.2,104.1,97.6,99.3,100.6,99.2,96.7,100.6,99.1,98.4,112.0,101.9,99.2,100.8,106.8,103.2,100.6,102.0,99.9,100.4,98.9,99.9,101.1,100.2,99.6,100.0,99.6,98.7,98.8,100.3,100.6,100.2,99.9,100.4,97.9,99.6,99.7,100.4,100.2,99.2,100.3,98.4,100.7,92.6,100.5,99.5,100.7,97.2,100.0,99.8,100.3,96.1,97.7,97.6,101.2,99.5,100.6,99.6,100.3,97.8,100.0,98.7,99.6,100.0,95.4,99.7,100.0,98.5,100.0
2012-03-01,97.4,99.9,96.3,99.8,101.5,100.4,100.0,98.4,101.8,103.4,99.8,98.9,98.7,103.2,97.6,99.4,100.9,100.9,99.8,99.4,107.6,98.9,102.7,101.8,94.4,101.2,102.1,74.7,96.5,99.4,94.9,92.8,100.4,100.6,96.3,100.3,97.4,101.1,100.8,97.1,97.7,98.8,100.5,99.9,98.2,99.4,100.6,99.7,99.9,99.6,101.0,98.7,100.3,99.5,97.7,99.5,100.8,100.3,99.6,96.6,105.1,98.4,99.5,98.5,102.8,100.0,100.4,100.3,103.9,99.6,99.8,100.3,100.6,101.1,100.4,100.4,102.2,100.0,100.8,100.3,100.0,97.1,100.1,100.0,100.8,100.5
2012-06-01,103.3,100.2,94.1,100.4,102.5,100.4,100.5,98.6,98.4,103.2,97.3,102.0,97.7,105.6,99.9,99.9,102.7,101.6,97.2,102.9,99.3,100.7,101.2,102.2,101.7,98.4,99.1,77.3,100.1,98.3,100.8,99.5,93.8,100.6,100.1,100.6,97.7,101.8,100.5,97.1,100.7,98.7,101.2,101.0,100.3,103.2,100.5,99.1,99.9,100.6,99.2,103.0,102.0,101.3,102.1,99.3,100.8,100.3,101.1,102.4,103.9,98.4,101.4,97.7,102.9,100.0,101.1,100.6,103.9,99.3,102.4,98.7,101.2,99.6,100.9,100.0,102.2,100.0,102.6,100.5,100.0,104.5,100.5,100.0,101.6,100.7
