date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,87.8,95.2,146.2,101.2,87.5,104.3,95.6,100.1,102.4,96.0,98.7,99.4,98.4,87.3,101.4,95.6,99.5,94.1,97.9,99.7,82.9,111.2,100.9,96.1,99.7,102.6,99.8,82.3,99.0,106.0,101.1,100.5,101.8,89.5,95.1,95.4,98.5,99.4,91.0,102.8,101.0,91.2,96.7,96.7,107.7,90.0,111.3,103.6,97.0,98.7,101.9,101.8,101.3,91.8,92.9,101.9,93.4,89.6,103.0,94.2,103.9,100.3,89.5,102.0,91.3,89.5,92.1,95.9,90.1,101.2,97.6,99.6,96.0,93.5,94.6,99.4,93.1,95.8,74.4,103.0,96.0,99.0,92.2,81.4,95.6,98.6
2010-06-01,89.3,95.8,137.5,100.5,89.4,104.0,96.9,99.7,102.5,95.7,97.0,99.6,98.7,87.6,101.7,96.2,99.8,94.9,91.9,100.0,82.4,109.2,100.1,96.2,98.8,101.9,95.9,78.3,101.0,105.8,102.5,100.3,101.7,91.0,101.1,96.0,99.1,102.4,90.5,100.9,99.2,93.4,97.5,97.1,107.1,93.4,111.6,103.4,97.5,98.5,101.2,100.2,100.4,92.7,93.5,102.2,94.5,90.8,102.6,98.5,102.6,98.9,89.5,102.9,91.4,89.5,93.1,96.2,90.1,103.0,98.4,99.5,95.8,93.9,95.1,99.3,93.1,95.8,85.8,103.3,94.5,96.1,93.1,81.4,97.1,98.9
2010-09-01,91.5,96.5,133.9,101.4,86.1,105.0,97.3,100.3,101.7,96.9,97.7,100.2,97.3,89.7,100.8,96.7,98.6,95.4,93.7,100.3,87.4,108.6,100.6,96.6,100.6,102.7,99.4,77.8,102.4,105.2,104.2,103.2,101.2,93.0,101.1,96.7,100.9,100.9,92.2,102.6,97.5,94.6,98.2,97.7,106.4,93.4,111.6,103.7,98.0,99.6,101.2,100.9,99.2,94.0,94.7,103.5,94.2,93.5,103.2,96.2,98.6,99.0,95.2,102.7,92.1,95.0,94.1,96.5,90.1,102.9,98.4,99.5,96.5,95.9,95.6,98.8,93.1,95.6,91.8,102.3,95.3,90.9,94.1,91.8,95.4,99.6
2010-12-01,88.3,96.9,127.0,101.3,87.9,101.1,97.9,100.3,102.4,97.0,98.1,99.6,100.0,90.7,98.2,97.6,98.6,95.9,97.2,99.9,88.2,105.4,100.7,95.7,99.7,101.2,99.9,89.8,102.6,104.9,103.1,101.1,98.8,92.5,98.1,97.2,100.0,101.2,92.7,101.9,98.1,95.5,96.3,98.5,104.1,93.4,111.2,102.7,98.7,99.7,101.6,98.8,99.1,94.7,94.8,102.3,94.6,96.1,102.2,93.7,92.5,101.7,95.2,104.4,92.0,95.0,95.0,96.9,90.1,102.2,98.7,100.0,97.4,96.2,96.6,98.8,93.1,95.3,92.9,101.9,95.3,101.2,94.9,91.8,95.9,99.5
2011-03-01,90.4,98.3,118.2,100.2,95.6,100.5,97.6,100.8,101.6,94.6,100.3,98.7,99.5,93.3,98.2,98.0,99.7,96.8,96.6,100.1,92.7,103.7,100.4,97.3,92.3,97.8,96.9,102.8,96.3,104.6,99.1,99.6,99.2,94.0,95.1,97.9,96.2,101.9,93.8,100.3,98.1,101.8,96.7,98.9,102.4,95.4,104.3,102.1,99.5,99.8,101.9,99.3,100.7,95.6,96.0,102.1,96.9,96.4,102.6,93.7,104.0,102.6,95.2,104.7,97.1,95.0,96.2,97.4,96.3,101.6,99.8,99.7,98.5,97.2,97.4,99.0,97.7,95.9,94.8,100.9,96.2,117.4,95.7,91.8,99.5,100.3
2011-06-01,98.5,99.2,110.5,100.5,99.4,100.7,98.0,100.4,101.0,95.6,100.9,99.3,100.9,94.1,99.0,98.8,94.7,97.4,95.1,99.9,91.3,101.9,100.1,98.3,100.3,101.0,94.7,130.5,102.0,104.0,101.0,100.9,100.1,94.9,99.8,98.9,100.9,100.6,95.3,99.0,99.9,104.2,95.8,99.6,103.4,98.6,99.6,101.9,99.9,99.6,98.9,100.1,98.4,96.7,98.1,100.5,98.2,96.5,100.1,97.5,103.2,102.0,97.2,105.4,97.1,95.0,97.3,98.7,96.3,101.4,101.1,99.5,98.8,97.4,98.2,99.4,97.7,96.3,96.2,101.4,97.2,105.4,97.1,91.8,99.6,99.7
2011-09-01,101.8,99.8,106.8,98.8,98.1,99.5,98.1,99.9,99.7,99.1,99.9,99.8,101.8,95.9,100.4,99.4,94.8,98.5,96.8,99.4,98.3,100.3,99.9,99.1,101.4,99.8,99.6,129.0,101.2,102.9,101.7,102.3,100.3,98.5,103.0,99.0,101.4,99.6,98.0,104.0,99.8,101.3,99.4,100.0,102.7,98.4,99.9,100.8,99.8,99.8,99.1,100.5,98.7,97.8,98.4,100.6,98.8,98.6,100.1,99.6,98.0,101.5,99.5,103.9,97.3,100.0,98.5,99.1,96.3,102.4,100.8,100.0,98.5,99.5,99.1,99.2,97.7,100.2,97.9,99.6,97.7,102.7,98.7,99.7,99.5,99.6
2011-12-01,98.0,99.8,102.7,101.1,98.8,99.2,99.3,99.9,100.1,101.3,101.3,100.2,99.8,98.4,100.6,99.9,100.2,99.2,103.8,99.1,98.9,100.3,100.4,98.7,100.7,101.4,98.5,111.7,102.3,100.2,101.3,102.0,101.0,98.7,100.2,99.8,102.4,100.7,99.3,102.0,100.1,99.4,99.7,100.0,99.3,98.2,99.9,99.6,100.1,100.1,100.6,99.6,101.0,99.3,100.3,99.6,99.0,99.0,99.3,101.0,92.6,99.2,99.5,100.7,97.5,100.0,99.5,99.9,96.3,99.0,99.1,100.2,99.6,99.7,99.6,100.3,97.7,100.1,98.8,100.0,97.8,97.6,99.6,99.7,98.6,99.6
2012-03-01,99.5,99.9,97.1,100.3,101.2,100.4,100.9,99.9,101.7,100.9,100.8,100.3,99.4,102.3,97.2,100.1,102.0,100.8,101.7,100.6,101.8,99.7,100.0,101.4,98.2,99.5,101.2,78.2,96.1,99.2,97.8,96.7,98.4,100.2,98.5,100.2,96.7,100.1,100.7,97.1,100.6,100.1,100.3,99.6,99.6,100.3,100.2,99.2,100.0,99.6,101.2,99.6,101.4,100.6,99.9,100.1,100.9,99.7,99.2,99.4,105.6,100.5,99.5,97.5,102.5,100.0,100.5,100.4,103.7,99.7,98.5,99.7,100.6,100.2,100.1,100.4,102.3,100.1,100.8,100.3,102.2,97.3,100.7,100.3,101.0,100.1
2012-06-01,100.7,100.4,93.4,99.8,101.9,100.8,101.7,100.3,98.5,98.7,98.0,99.8,99.0,103.4,101.8,100.7,103.0,101.4,97.7,100.9,101.0,99.7,99.7,100.8,99.7,99.3,100.8,81.1,100.5,97.7,99.2,99.1,100.3,102.5,98.3,101.0,99.5,99.6,102.0,96.8,99.5,99.2,100.7,100.4,98.5,103.1,100.0,100.3,100.1,100.5,99.2,100.3,98.8,102.2,101.5,99.7,101.3,102.7,101.4,100.0,103.8,98.9,101.4,97.9,102.7,100.0,101.6,100.7,103.7,98.9,101.6,100.0,101.2,100.6,101.2,100.0,102.3,99.6,102.5,100.0,102.3,102.4,100.9,100.3,100.9,100.7
