date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,99.0,95.2,153.0,100.1,87.3,104.1,97.2,100.1,102.0,94.5,98.2,103.1,97.5,88.8,102.5,94.8,99.9,94.7,99.7,96.9,83.6,108.1,96.2,96.4,110.1,96.6,101.3,81.0,99.5,107.6,95.1,97.8,101.6,88.6,92.5,96.3,95.8,97.9,86.4,100.0,102.4,89.4,95.5,97.4,102.8,90.6,109.2,102.2,98.9,100.8,100.8,97.9,102.8,88.8,90.5,98.4,92.2,83.6,104.5,95.6,105.7,102.1,89.5,104.1,91.2,90.6,94.7,95.5,88.4,99.5,95.1,98.9,96.4,93.8,95.7,99.3,94.6,97.0,74.4,104.8,85.6,107.5,93.3,78.4,97.7,98.6
2010-06-01,99.3,95.9,140.1,100.2,89.1,104.0,97.2,99.0,101.9,92.2,97.1,103.0,95.8,89.2,100.9,95.5,100.7,96.0,93.0,96.8,83.6,107.5,96.1,96.3,108.0,94.5,101.7,75.8,101.3,106.6,99.0,97.9,97.5,88.6,97.6,97.1,101.3,103.1,87.8,100.9,101.6,92.0,96.6,98.0,103.1,93.9,109.5,103.7,99.1,98.6,101.4,100.6,103.9,88.7,91.6,98.8,93.7,86.2,105.8,98.3,105.4,104.0,89.5,104.0,91.2,90.6,95.8,94.9,88.4,107.5,97.3,99.2,96.1,94.7,96.3,99.3,94.6,96.7,85.9,104.7,85.6,97.7,94.7,78.4,97.9,100.2
2010-09-01,101.7,96.9,135.2,100.4,86.0,105.4,97.5,100.8,101.6,93.9,98.7,101.7,97.2,91.8,99.9,95.9,97.3,96.1,96.0,97.5,94.5,107.6,98.8,97.0,99.4,95.2,90.8,76.0,102.4,105.9,104.0,104.4,99.6,93.1,97.4,96.8,103.8,102.1,90.6,103.4,100.1,92.3,97.6,98.5,103.9,93.8,109.3,103.1,99.5,99.5,99.8,97.4,99.8,88.4,92.4,101.9,95.0,91.3,103.3,98.1,99.2,99.1,95.2,103.8,91.5,96.0,96.3,95.5,88.4,106.7,98.3,99.7,97.4,96.1,96.6,98.8,94.6,96.1,91.9,103.3,87.1,90.0,97.4,94.1,95.7,100.2
2010-12-01,98.5,97.4,127.4,101.3,87.6,101.3,98.8,100.8,102.3,93.5,96.8,102.2,101.5,92.3,98.9,97.4,98.9,96.3,98.9,100.4,94.5,105.7,99.6,96.5,106.5,96.3,99.5,89.4,103.8,105.7,101.6,96.5,100.2,93.1,97.7,97.9,98.5,101.3,89.9,102.8,96.0,96.6,96.6,99.0,101.0,93.4,109.0,102.8,100.3,100.7,101.1,97.9,99.4,90.0,94.0,102.7,95.0,92.5,103.4,92.8,92.7,103.2,95.2,105.6,91.6,96.0,96.8,95.2,88.4,100.2,99.6,100.0,98.5,96.0,96.7,98.8,94.6,95.5,92.7,103.1,87.1,104.7,97.4,94.1,97.4,101.3
2011-03-01,99.8,98.6,116.9,100.3,95.1,101.0,99.4,100.7,101.3,91.0,99.3,101.6,99.1,94.3,96.0,97.4,100.7,97.7,96.1,100.4,94.5,103.2,99.0,98.0,98.5,97.5,98.2,103.7,97.1,105.0,96.6,98.4,97.7,93.1,93.8,98.5,97.4,98.3,91.0,100.0,100.9,99.3,96.5,98.7,100.5,95.9,102.4,101.2,100.8,99.9,102.6,101.0,102.0,90.1,93.0,103.6,98.0,93.7,103.7,93.1,105.5,104.5,95.2,106.9,97.0,96.0,97.5,96.5,95.3,98.4,99.2,100.0,99.3,96.7,97.0,99.0,97.3,96.4,94.4,102.5,93.2,130.5,97.9,94.1,100.6,100.7
2011-06-01,102.3,99.6,109.1,101.4,98.8,98.9,98.9,99.5,101.2,92.9,98.6,100.1,102.2,95.1,101.7,97.7,94.7,98.2,94.9,99.7,94.5,102.4,99.7,99.7,103.7,103.3,101.5,129.3,103.2,104.9,101.4,99.2,99.6,93.1,101.9,98.3,102.9,100.8,92.4,99.2,94.9,102.5,96.7,99.6,100.1,98.7,99.7,101.5,101.4,100.0,100.1,102.3,99.7,94.4,97.6,99.8,97.8,95.1,102.5,98.2,103.8,104.9,97.2,108.4,97.1,96.0,98.3,98.4,95.3,99.1,100.2,99.8,98.7,97.8,98.5,99.4,97.3,96.6,96.5,102.3,95.2,109.8,97.9,94.1,100.4,99.8
2011-09-01,106.3,99.9,107.3,100.1,97.7,98.3,98.9,100.5,100.0,94.6,100.1,100.6,101.5,96.0,100.8,99.2,93.6,99.0,98.3,99.2,100.0,101.3,99.8,98.1,101.1,100.9,97.9,130.1,101.7,101.5,103.6,102.2,100.6,100.0,102.9,99.3,101.7,99.7,95.7,104.5,101.6,101.1,99.6,99.7,99.9,98.4,100.1,100.3,99.8,100.3,100.6,100.3,98.7,95.7,96.4,100.1,98.8,98.5,100.1,101.1,98.3,102.0,99.5,106.0,97.1,100.0,99.0,99.1,95.3,101.8,101.0,99.4,98.4,99.6,99.3,99.2,97.3,100.2,98.0,98.9,96.0,101.3,99.5,100.0,98.6,100.2
2011-12-01,93.1,99.7,102.3,99.2,99.1,98.9,99.2,99.4,99.1,102.8,100.2,100.4,101.5,98.8,100.6,100.2,100.4,99.4,103.4,98.5,100.0,99.6,100.1,99.4,101.1,98.3,95.2,110.7,101.0,101.1,101.6,104.1,100.9,100.0,100.9,100.0,100.8,101.0,99.1,101.8,98.8,100.3,99.6,100.6,97.9,98.0,100.0,101.3,100.0,100.3,101.3,102.4,101.5,96.8,100.2,99.5,98.5,99.4,98.1,100.2,92.4,98.2,99.5,102.3,97.4,100.0,99.6,99.2,95.3,98.7,98.7,100.0,99.9,98.9,99.8,100.3,97.3,100.2,98.8,100.5,96.0,98.1,99.5,100.0,98.4,100.7
2012-03-01,101.3,99.9,96.7,100.2,101.1,101.3,100.2,100.0,100.5,101.4,101.2,100.1,100.2,102.0,96.7,100.2,102.6,100.0,100.1,100.7,100.0,99.2,99.6,101.5,94.5,97.6,103.5,79.1,96.9,99.2,95.1,93.1,98.7,100.0,95.5,100.2,94.1,100.4,101.6,96.5,101.8,99.8,100.7,99.5,101.1,100.6,100.0,100.0,99.8,98.9,99.3,97.7,98.8,103.6,102.3,99.9,101.3,100.6,99.1,98.3,105.8,101.8,99.5,95.5,102.7,100.0,100.3,100.2,104.7,100.0,100.2,99.8,100.2,100.4,100.1,100.4,102.7,100.2,100.9,100.0,104.0,99.5,100.5,100.0,101.6,99.2
2012-06-01,99.2,100.5,93.7,100.5,102.1,101.5,101.7,100.2,100.4,101.2,98.4,98.9,96.7,103.2,101.9,100.5,103.4,101.6,98.2,101.6,100.0,99.9,100.6,101.0,103.3,103.3,103.5,80.1,100.3,98.1,99.7,100.5,99.8,100.0,100.8,100.6,103.5,98.9,103.6,97.1,97.8,98.8,100.1,100.2,101.1,103.0,99.9,98.4,100.4,100.5,98.8,99.7,101.1,103.9,101.1,100.5,101.5,101.5,102.6,100.4,103.5,98.0,101.4,96.3,102.8,100.0,101.1,101.5,104.7,99.5,100.1,100.7,101.5,101.1,100.8,100.1,102.7,99.5,102.3,100.6,104.0,101.2,100.5,100.0,101.4,99.8
