date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,101.0,95.4,143.4,105.1,88.0,106.9,89.9,98.9,102.3,95.6,98.3,99.4,99.0,86.1,98.4,93.3,97.3,89.0,94.3,109.5,93.2,106.3,99.5,96.3,100.4,100.9,96.7,94.3,107.7,106.2,96.2,104.2,101.0,99.1,104.7,95.1,107.2,101.0,85.6,102.7,102.3,91.8,97.2,95.8,109.5,91.0,118.2,96.2,96.1,100.4,104.6,104.8,97.9,94.6,89.5,104.0,92.3,96.9,104.7,94.2,104.9,102.5,89.5,106.3,95.9,91.3,95.0,94.2,91.4,99.9,97.4,99.6,95.7,90.7,93.5,99.0,94.6,95.9,74.7,102.9,94.6,101.0,93.7,74.6,93.3,99.1
2010-06-01,98.2,96.2,133.5,104.5,87.1,108.9,90.6,99.0,101.3,95.4,96.1,101.0,94.7,86.9,101.2,93.3,99.2,90.1,96.7,113.0,93.2,106.6,98.1,98.0,103.4,104.6,101.2,89.7,106.5,105.4,100.0,101.0,101.4,99.1,100.3,96.3,103.6,102.5,88.0,101.3,98.2,94.4,97.3,97.2,109.2,94.7,118.7,96.0,96.2,99.9,104.3,107.0,98.7,96.1,91.7,101.3,94.9,96.7,105.9,98.5,103.5,100.5,89.5,104.2,95.9,91.3,96.1,95.8,91.4,102.3,97.9,100.5,94.3,91.1,94.5,99.0,94.6,94.1,85.9,103.4,94.6,99.8,93.7,74.6,96.2,99.1
2010-09-01,98.5,97.2,130.5,104.2,86.6,108.5,91.7,99.3,101.6,95.3,97.0,101.6,96.3,87.4,97.0,97.1,96.7,92.2,105.8,112.4,97.6,106.9,100.5,98.3,91.5,101.5,96.3,88.2,104.4,105.7,98.0,101.0,101.0,100.5,100.2,96.9,100.8,100.1,89.9,103.3,96.1,93.3,98.6,97.3,107.6,94.9,117.0,96.7,97.5,100.2,104.2,105.4,98.5,96.8,90.1,102.2,95.9,97.7,104.6,97.4,100.5,101.8,95.2,105.3,95.9,95.4,97.2,96.0,91.4,97.1,96.8,100.7,95.5,93.2,95.3,98.7,94.6,92.9,92.2,102.6,96.2,97.8,95.7,83.2,92.4,99.4
2010-12-01,98.9,97.1,128.7,102.8,85.7,101.7,92.4,99.8,102.1,96.3,96.7,99.9,97.5,89.0,94.8,97.8,97.2,93.4,98.2,110.1,97.6,102.3,101.2,97.7,96.2,100.0,101.2,94.9,104.6,104.2,100.4,99.4,100.3,103.2,100.5,97.9,103.6,105.4,90.0,102.8,97.2,92.7,97.2,96.4,107.0,94.9,115.7,98.6,98.9,99.8,104.0,104.1,95.3,96.8,87.4,101.7,95.9,98.1,100.3,91.7,94.7,101.4,95.2,105.7,95.9,95.4,97.9,96.5,91.4,93.0,96.4,100.0,96.5,94.0,95.4,98.8,94.6,93.2,92.7,100.9,96.7,100.8,95.7,83.2,93.4,100.7
2011-03-01,100.0,98.2,119.4,101.0,92.4,101.3,93.8,99.8,103.6,92.4,100.1,99.6,100.2,90.7,98.5,97.8,97.9,96.5,94.5,105.6,97.6,99.8,100.9,98.5,100.6,100.2,104.3,104.3,103.5,104.8,97.6,101.1,101.2,107.0,96.1,98.0,103.0,102.9,91.3,100.2,100.5,100.8,97.3,97.6,101.9,96.0,108.4,97.2,99.2,99.9,103.4,104.4,100.1,99.6,90.9,103.6,97.2,98.1,102.6,94.6,103.6,102.5,95.2,104.0,98.5,95.4,98.5,97.1,96.5,100.2,100.1,100.0,97.1,95.1,95.8,99.0,97.9,94.8,95.0,101.7,96.7,110.6,98.4,83.2,97.5,100.0
2011-06-01,99.9,99.2,112.4,102.8,99.3,100.8,94.7,99.9,102.3,91.3,102.6,98.8,102.3,93.3,97.2,99.0,92.7,96.5,104.6,102.4,97.6,100.1,102.1,98.7,100.4,98.0,101.8,120.5,104.6,102.8,102.9,96.2,99.6,108.1,96.3,98.7,105.9,100.3,92.8,99.4,102.4,105.5,97.4,97.8,102.8,98.7,99.4,97.3,99.1,98.6,99.9,100.4,98.4,99.3,95.6,100.8,97.9,98.1,98.0,95.9,102.4,102.6,97.2,108.8,98.5,95.4,98.8,97.6,96.5,99.6,100.4,99.9,97.8,95.3,97.2,99.3,97.9,94.9,96.3,100.9,96.7,106.8,98.4,83.2,98.5,100.7
2011-09-01,100.3,99.9,108.6,98.3,97.8,99.3,96.3,100.6,99.6,100.3,100.8,98.6,102.4,93.0,100.0,99.0,93.0,99.0,106.2,101.2,100.0,100.8,100.1,100.0,102.8,95.0,97.9,121.2,98.6,102.1,95.2,98.2,101.3,103.3,100.0,99.1,100.3,101.7,97.9,104.6,100.2,101.9,99.1,98.6,102.5,99.4,99.5,98.9,99.0,98.9,100.3,102.6,100.5,99.3,97.8,102.2,98.8,99.5,101.3,99.3,98.9,105.7,99.5,105.0,98.5,100.0,99.2,99.8,96.5,100.6,101.5,99.7,98.2,99.3,99.6,99.3,97.9,102.1,98.2,100.0,100.0,105.9,98.4,100.0,99.8,99.6
2011-12-01,100.3,99.5,102.1,102.5,98.6,99.8,97.8,100.5,101.5,101.2,99.9,100.0,99.6,98.1,98.8,99.8,99.5,99.0,97.6,101.2,100.0,100.7,99.6,98.8,103.1,101.4,103.9,104.9,101.2,99.1,101.8,100.3,100.3,97.8,103.7,100.0,99.0,98.2,100.2,101.8,97.1,98.6,99.5,99.6,99.7,99.5,99.3,99.4,99.3,99.8,100.8,96.5,97.7,100.0,100.7,99.0,98.8,99.5,98.8,99.8,93.8,98.5,99.5,100.6,98.5,100.0,99.5,100.0,96.5,100.5,98.2,100.4,98.9,100.2,99.6,100.3,97.9,101.9,98.9,100.6,100.0,96.8,98.4,100.0,99.6,100.7
2012-03-01,98.9,99.9,97.6,98.7,100.9,100.2,103.1,97.5,103.0,99.0,99.0,100.4,99.3,102.1,99.7,100.6,102.4,100.7,94.1,98.4,100.0,100.3,100.8,99.6,100.7,101.6,101.8,87.1,100.0,99.6,99.8,100.9,98.8,99.7,97.8,100.0,98.2,100.9,100.2,96.6,102.5,98.3,100.0,100.0,97.2,99.0,100.2,101.4,100.3,100.6,101.4,97.8,100.9,100.3,100.1,99.4,99.4,100.5,97.4,99.0,104.0,96.5,99.5,95.8,101.5,100.0,100.2,100.2,103.5,99.9,97.8,99.8,100.3,100.2,100.1,100.4,102.1,98.0,100.8,100.2,100.0,98.3,101.6,100.0,100.1,99.6
2012-06-01,100.5,100.7,91.7,100.5,102.7,100.7,102.9,101.4,95.9,99.4,100.3,101.0,98.7,106.9,101.6,100.6,105.0,101.3,102.1,99.2,100.0,98.2,99.6,101.7,93.4,102.0,96.4,86.8,100.2,99.2,103.2,100.7,99.5,99.2,98.5,100.9,102.6,99.2,101.7,97.0,100.2,101.2,101.4,101.7,100.7,102.1,100.9,100.3,101.4,100.6,97.5,103.1,100.9,100.4,101.4,99.4,102.9,100.5,102.5,101.9,103.3,99.3,101.4,98.7,101.5,100.0,101.1,99.9,103.5,99.0,102.5,100.1,102.5,100.2,100.7,100.0,102.1,98.0,102.1,99.3,100.0,99.1,101.6,100.0,100.5,100.2
