date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,83.0,95.2,144.4,100.5,88.5,105.1,95.3,98.4,102.9,98.9,98.7,97.3,98.3,86.0,100.5,98.2,98.1,94.9,100.6,101.0,88.9,113.0,103.4,94.8,98.8,103.7,97.7,79.1,100.9,105.5,100.2,102.1,102.1,91.3,101.5,94.4,101.1,100.0,91.3,103.4,99.9,90.9,97.4,96.8,107.3,90.5,110.7,104.3,96.5,98.4,102.3,100.6,99.4,87.0,94.8,102.7,95.7,84.9,101.3,93.4,104.5,99.5,89.5,100.6,90.1,87.6,93.1,95.3,89.7,100.4,98.6,99.4,94.4,93.0,93.4,99.6,92.2,93.8,74.3,103.2,94.6,98.0,93.1,75.4,94.4,97.8
2010-06-01,84.3,95.8,137.5,100.6,91.0,104.6,97.8,98.5,103.7,97.6,96.0,96.7,99.4,86.1,100.6,98.2,98.9,95.1,92.3,101.5,86.5,111.2,101.9,95.3,95.8,103.7,90.4,78.3,100.6,106.3,101.6,101.6,104.3,92.9,102.4,95.3,101.2,102.1,90.9,100.9,97.6,93.7,97.7,97.0,106.2,93.1,111.4,104.1,97.5,98.9,100.4,99.9,100.8,87.9,93.5,103.0,96.0,87.4,101.5,98.5,102.7,96.6,89.5,103.7,90.4,87.6,94.0,96.0,89.7,101.6,98.5,99.1,94.5,93.1,93.9,99.5,92.2,93.8,85.8,103.1,94.6,95.3,94.1,75.4,96.2,99.6
2010-09-01,85.8,96.3,135.2,101.7,87.1,104.6,98.2,98.4,102.4,97.4,97.2,98.2,96.8,89.2,100.5,98.3,97.1,96.0,93.6,101.0,85.2,109.4,101.1,95.1,101.7,98.2,99.4,77.9,104.2,105.5,101.1,104.2,101.2,93.2,100.1,97.2,101.3,101.2,93.7,102.3,95.6,93.5,98.0,97.6,104.9,93.5,112.1,105.0,97.9,100.4,101.5,98.7,99.4,92.6,95.2,103.0,92.2,88.9,101.4,95.2,99.2,96.7,95.2,101.3,92.7,94.5,95.1,95.8,89.7,99.4,99.5,98.2,95.1,94.8,94.6,98.9,92.2,93.7,91.5,103.4,94.6,91.1,95.2,88.2,93.4,100.3
2010-12-01,85.7,96.9,128.4,100.2,88.6,102.5,99.2,98.2,102.6,98.8,99.1,98.0,96.6,91.2,97.8,98.3,97.8,96.6,96.7,97.2,87.7,105.7,101.0,96.2,103.6,105.2,98.8,90.8,103.4,104.8,102.8,106.3,97.8,92.2,98.9,97.3,101.8,103.3,94.9,101.3,95.9,94.3,96.8,99.1,104.4,93.9,112.1,103.3,98.5,100.2,100.1,97.5,97.5,93.1,96.0,101.3,92.7,96.5,101.1,92.0,92.2,102.7,95.2,104.8,92.8,94.5,95.7,96.5,89.7,106.8,99.2,100.0,96.3,94.9,95.7,98.9,92.2,93.0,92.9,101.3,94.6,100.7,96.4,88.2,94.9,99.9
2011-03-01,86.9,98.5,121.5,99.6,96.2,101.3,96.5,100.0,100.2,93.9,99.1,96.1,99.8,92.4,98.2,98.3,98.5,97.8,98.0,100.0,98.7,103.3,100.5,96.1,97.8,100.8,87.9,103.3,96.5,104.3,97.7,102.1,99.6,95.3,96.3,98.2,94.9,103.3,95.5,100.2,97.0,101.4,96.8,99.4,100.6,95.8,105.3,102.1,99.8,100.7,101.3,98.2,99.8,96.1,96.3,103.0,96.9,96.7,102.0,92.0,104.5,102.5,95.2,103.0,96.8,94.5,97.0,96.6,96.6,101.5,99.4,98.4,97.2,96.5,96.7,99.0,97.6,94.0,95.2,100.0,94.6,117.2,97.4,88.2,99.2,99.8
2011-06-01,98.9,99.2,111.1,99.5,100.0,102.0,97.8,100.1,99.5,95.7,100.7,98.9,101.5,92.5,97.9,99.1,92.9,98.3,94.3,100.7,96.0,101.0,102.4,98.4,103.1,102.0,83.0,127.7,101.5,102.4,100.5,103.2,98.1,97.3,99.9,99.7,98.0,98.7,95.5,98.9,101.0,102.5,96.3,100.1,104.9,98.5,99.7,101.0,100.0,100.2,97.2,98.7,98.7,96.3,98.0,100.8,97.7,96.6,99.0,96.0,103.1,101.9,97.2,104.6,96.8,94.5,97.7,98.9,96.6,101.0,101.5,98.3,98.1,97.2,98.2,99.4,97.6,95.2,96.2,100.5,96.7,106.4,97.4,88.2,98.9,99.0
2011-09-01,102.3,99.8,105.4,97.6,98.4,100.5,97.3,99.8,99.0,101.1,99.2,100.0,103.3,94.7,100.7,99.8,93.4,97.9,96.5,99.7,96.0,101.5,101.8,98.7,100.8,104.1,101.4,128.2,100.7,103.5,96.8,105.2,99.9,98.5,103.8,99.1,102.6,99.5,99.0,104.1,99.2,100.1,98.9,100.7,104.2,98.3,100.5,100.9,100.5,99.8,98.2,99.6,97.5,97.1,99.8,99.1,99.0,97.7,98.8,99.2,97.8,101.0,99.5,103.1,97.0,100.0,99.0,98.9,96.6,100.6,100.5,99.6,98.9,99.4,99.2,99.3,97.6,100.0,97.7,100.0,97.0,103.3,99.6,100.0,98.7,99.4
2011-12-01,103.6,99.9,103.5,101.2,98.5,99.3,99.3,99.5,99.1,100.6,100.7,99.4,101.0,97.2,100.0,99.8,100.9,98.8,104.3,99.6,96.0,99.5,100.4,98.6,103.7,103.8,98.7,114.0,103.6,100.7,104.0,102.1,103.1,97.5,101.4,99.7,102.2,101.4,99.0,101.2,102.6,98.7,99.3,99.2,97.7,98.2,99.7,99.1,100.4,100.0,100.3,97.9,100.1,100.1,99.5,99.6,99.2,97.9,100.3,100.7,92.4,98.1,99.5,101.4,97.2,100.0,99.5,100.0,96.6,101.1,99.7,100.5,99.6,99.9,99.4,100.3,97.6,100.3,98.9,100.0,96.7,97.7,99.6,100.0,99.1,99.3
2012-03-01,96.0,99.9,96.8,101.0,101.3,99.3,101.5,100.3,101.1,99.3,101.1,100.3,97.9,103.7,97.9,99.8,102.7,101.5,102.6,101.3,104.0,98.8,98.3,102.4,100.6,96.6,101.8,78.2,95.6,98.8,100.7,96.3,98.3,100.7,98.0,99.8,96.6,99.7,100.5,98.2,100.4,101.0,100.3,99.6,100.2,100.5,100.0,97.9,100.2,99.4,101.9,101.8,103.0,100.3,98.6,100.9,100.9,98.0,100.2,100.1,105.7,101.5,99.5,97.4,102.9,100.0,100.3,100.7,103.4,100.2,97.4,99.8,100.6,99.7,99.9,100.4,102.4,100.0,100.9,100.2,103.1,96.1,100.0,100.0,100.7,100.3
2012-06-01,98.1,100.4,94.3,100.2,101.9,101.0,101.9,100.4,100.9,99.0,99.0,100.3,97.8,104.4,101.3,100.7,103.0,101.7,96.7,99.4,104.0,100.2,99.5,100.4,94.9,95.6,98.1,79.5,100.0,97.0,98.5,96.4,98.7,103.2,96.9,101.3,98.7,99.4,101.6,96.6,97.8,100.2,101.5,100.5,97.9,103.0,99.8,102.1,98.8,100.8,99.6,100.7,99.4,102.5,102.1,100.4,101.0,106.4,100.8,99.9,104.0,99.4,101.4,98.2,103.0,100.0,101.2,100.3,103.4,98.2,102.5,100.1,100.9,101.1,101.4,100.0,102.4,99.6,102.5,99.8,103.2,102.9,100.9,100.0,101.5,101.1
