date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,83.3,95.6,137.8,101.4,85.9,101.7,98.0,100.6,98.7,95.6,100.2,98.8,97.6,84.5,95.6,91.4,100.9,96.2,96.9,98.0,80.5,105.2,101.0,97.6,102.5,103.6,94.8,80.0,104.1,103.5,103.5,98.1,97.7,83.9,94.7,93.4,101.5,102.0,91.8,105.8,105.5,89.4,96.8,96.6,107.4,90.3,119.7,105.7,96.5,100.8,105.9,104.1,100.7,92.8,94.9,101.5,94.9,96.5,100.9,93.2,103.9,97.3,89.5,96.1,90.7,87.6,93.1,96.2,89.2,96.0,98.6,101.1,97.7,94.0,95.4,99.1,95.5,98.8,75.0,104.7,93.3,96.4,91.2,87.6,96.0,100.1
2010-06-01,85.0,96.5,131.6,101.2,89.6,102.7,98.7,100.5,99.2,97.9,98.2,98.2,95.6,84.7,97.0,92.7,97.8,96.2,92.7,101.6,86.6,105.9,99.2,96.6,101.0,101.9,93.3,77.0,106.9,101.8,107.6,102.8,102.1,89.7,103.5,94.2,102.9,100.5,90.6,100.6,101.0,91.5,98.2,97.0,109.5,92.7,119.6,104.5,97.6,100.4,105.3,102.0,98.3,93.2,96.7,103.3,95.0,96.5,99.9,96.6,102.0,96.6,89.5,96.4,90.7,87.6,93.9,96.0,89.2,96.1,101.0,101.1,96.7,94.9,94.7,99.1,95.5,99.6,85.6,105.3,93.3,98.8,92.4,87.6,100.0,99.4
2010-09-01,87.4,96.9,128.2,99.5,86.8,104.4,99.2,100.4,98.8,98.3,97.7,98.2,95.9,87.7,96.6,93.9,98.5,96.7,92.3,101.8,95.2,106.1,98.5,96.3,107.2,111.1,93.6,75.6,107.9,103.3,105.0,102.8,99.1,89.7,104.0,96.4,98.5,99.3,91.6,101.3,97.7,91.9,99.4,97.6,105.1,92.7,118.5,103.9,97.9,100.4,101.8,101.5,99.1,93.7,97.8,102.5,96.0,98.3,101.6,93.3,97.5,100.5,95.2,97.2,90.7,94.0,94.9,97.1,89.2,98.1,97.4,100.5,97.4,97.3,95.6,98.7,95.5,98.3,91.9,101.2,96.5,94.2,92.4,96.6,98.4,99.7
2010-12-01,76.2,97.0,123.8,99.8,86.8,100.4,98.6,101.6,99.4,96.1,99.2,97.4,98.7,88.8,95.2,94.1,99.5,96.7,97.7,103.5,95.2,105.2,99.4,94.6,101.6,111.6,92.3,81.1,105.9,103.2,106.5,99.5,100.3,89.7,105.6,97.8,97.2,100.9,92.0,102.1,101.1,92.0,97.0,97.7,103.1,93.0,117.7,103.5,98.2,99.9,106.7,98.8,99.1,94.5,94.4,103.7,96.4,98.3,101.9,95.1,93.6,99.6,95.2,98.2,90.7,94.0,95.5,97.1,89.2,96.4,97.1,99.8,98.0,97.5,96.5,98.8,95.5,98.5,92.6,102.7,96.5,95.8,92.8,96.6,95.3,99.6
2011-03-01,89.3,98.1,113.5,101.0,95.3,98.7,98.3,101.1,98.3,93.2,101.0,98.7,97.2,89.5,96.4,93.9,98.9,97.8,94.5,101.7,95.2,102.5,101.8,96.5,96.8,100.2,95.1,93.9,98.1,101.7,94.7,101.2,94.0,89.7,99.0,97.9,99.8,102.7,93.7,99.9,100.2,97.1,97.6,97.9,97.8,95.1,110.3,103.1,98.2,99.7,105.5,93.4,100.0,95.4,97.5,104.5,97.7,98.3,100.2,92.8,104.7,102.6,95.2,99.1,96.5,94.0,96.1,97.6,95.2,98.0,100.5,100.2,99.2,99.3,97.3,98.9,98.1,97.3,94.6,99.5,98.2,107.3,93.2,96.6,100.7,100.5
2011-06-01,102.7,99.4,110.9,101.2,99.3,99.9,97.4,101.0,99.1,96.9,100.0,99.4,98.5,90.9,95.4,95.4,95.0,98.3,94.9,102.0,95.2,102.1,102.1,96.5,100.1,97.0,102.1,130.6,104.3,103.2,101.2,105.0,103.6,89.7,101.9,98.4,104.4,102.3,95.0,98.6,103.2,102.4,94.8,98.1,104.1,98.3,100.2,103.2,98.6,99.8,99.4,102.8,97.1,96.3,96.4,101.6,97.8,98.3,96.6,97.5,104.0,99.6,97.2,100.7,96.5,94.0,97.1,98.4,95.2,100.1,101.6,100.1,99.0,98.1,98.3,99.3,98.1,96.0,96.0,100.8,98.2,104.5,95.6,96.6,102.1,98.5
2011-09-01,100.5,99.6,106.9,99.6,97.8,98.6,98.0,99.4,101.5,100.2,100.0,99.2,99.5,96.5,98.4,97.4,96.0,99.3,93.1,101.7,100.0,99.0,100.7,100.2,99.9,99.6,95.6,123.6,101.7,101.5,103.1,103.2,100.2,95.7,102.0,98.8,96.7,100.2,98.5,104.4,99.5,102.0,98.7,99.1,100.6,98.3,99.9,101.2,99.2,100.0,98.5,100.7,99.4,97.5,98.3,101.5,98.7,100.3,100.6,99.6,97.4,100.9,99.5,100.3,96.6,100.0,98.0,99.2,95.2,101.8,101.1,100.3,99.0,99.8,99.6,99.2,98.1,100.6,98.0,100.3,99.3,101.2,97.7,96.6,100.6,99.6
2011-12-01,87.4,99.8,103.0,102.6,98.8,99.6,99.8,99.8,100.7,100.5,101.2,99.9,99.9,99.8,100.2,99.8,98.2,99.3,104.1,97.3,100.0,100.5,100.5,99.5,101.8,102.9,100.1,110.7,101.7,100.3,104.4,100.4,99.6,98.7,99.9,99.9,102.2,102.1,99.8,101.8,98.7,97.9,100.0,100.2,100.7,98.0,100.4,99.8,99.8,99.5,100.6,103.3,99.6,99.7,101.4,99.1,98.9,100.3,98.5,102.1,92.9,99.8,99.5,101.3,96.6,100.0,99.2,99.5,95.2,99.0,98.7,100.3,99.6,99.8,99.6,100.3,98.1,100.6,98.6,100.6,100.2,99.3,100.8,96.6,97.2,99.9
2012-03-01,105.2,100.0,97.7,99.9,101.0,101.1,101.3,100.2,101.9,99.9,100.8,100.4,98.7,101.3,98.7,100.6,102.2,100.5,105.6,98.4,100.0,100.2,99.6,100.1,98.6,102.2,102.5,80.0,96.1,99.0,93.5,92.7,97.1,98.7,99.7,100.3,99.4,100.0,100.6,96.9,100.0,99.3,100.5,100.8,101.0,100.4,99.8,99.6,100.1,100.0,101.7,97.8,101.0,100.7,99.4,100.0,101.1,100.3,99.4,99.1,105.7,100.5,99.5,98.9,103.4,100.0,100.6,100.4,104.8,100.0,97.4,99.4,100.9,100.2,99.9,100.4,101.9,100.6,100.8,100.6,100.2,100.1,100.8,103.4,101.5,99.6
2012-06-01,106.8,100.5,92.3,97.8,102.4,100.7,100.8,100.5,95.9,99.3,97.9,100.6,101.9,102.5,102.7,102.1,103.6,100.8,97.3,102.7,100.0,100.3,99.2,100.2,99.8,95.3,101.9,85.7,100.5,99.3,99.1,103.6,103.1,106.9,98.4,101.0,101.8,97.7,101.1,96.8,101.8,100.8,100.8,99.9,97.7,103.3,99.9,99.4,100.8,100.5,99.2,98.2,100.0,102.1,100.9,99.3,101.2,99.2,101.5,99.2,104.0,98.7,101.4,99.6,103.4,100.0,102.2,100.9,104.8,99.2,102.7,100.1,100.6,100.2,100.9,100.0,101.9,98.1,102.6,98.5,100.2,99.5,100.8,103.4,100.7,100.8
