date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,87.4,95.2,150.6,101.6,87.0,104.9,94.4,101.3,103.4,94.0,99.1,99.5,98.5,88.4,103.7,96.5,99.8,92.9,97.2,99.6,79.7,113.5,100.2,96.5,96.4,106.5,101.1,86.3,95.1,106.1,105.0,101.8,101.6,89.1,91.1,96.3,98.4,98.9,93.5,102.9,100.7,94.0,96.5,96.1,111.4,89.6,110.5,103.3,96.0,97.7,100.0,104.1,103.2,94.9,91.4,102.4,92.6,95.3,104.5,95.0,102.9,101.2,89.5,104.1,93.0,91.0,90.1,96.6,91.6,103.9,97.9,99.5,97.0,94.7,95.1,99.3,92.3,95.5,74.2,102.2,101.1,97.4,92.8,88.9,95.7,99.1
2010-06-01,89.6,95.6,140.2,100.0,88.3,103.7,95.5,100.5,102.9,94.8,97.7,100.2,99.5,88.7,104.7,97.4,100.3,94.1,92.0,99.0,79.7,109.2,100.3,95.7,97.8,105.9,97.4,80.1,98.3,105.8,104.3,99.7,100.8,89.1,101.0,96.5,95.2,103.4,92.0,100.7,98.8,95.6,97.8,96.7,109.4,93.6,110.1,102.3,96.2,97.6,100.2,99.5,99.8,96.7,93.2,102.8,94.1,95.2,103.7,99.8,101.5,99.9,89.5,104.8,93.0,91.0,91.2,97.1,91.6,103.5,98.2,99.4,96.4,94.7,95.7,99.3,92.3,95.4,85.8,103.1,97.5,95.7,93.2,88.9,96.4,98.1
2010-09-01,92.4,96.3,136.0,101.6,85.3,105.5,96.0,101.8,101.9,97.0,97.7,101.4,98.2,89.6,103.2,98.2,100.5,94.3,94.7,99.4,86.9,108.8,100.7,97.2,101.6,106.6,101.6,78.9,98.5,104.9,108.3,102.7,101.6,94.0,102.2,96.2,99.7,101.2,92.2,102.5,98.8,98.9,98.7,97.4,109.8,93.5,109.9,103.2,96.5,99.1,101.2,103.4,99.3,97.6,94.6,105.3,94.7,97.7,105.7,97.3,98.2,100.2,95.2,105.2,92.5,95.3,92.5,97.4,91.6,104.6,97.4,100.1,97.0,96.8,96.1,98.8,92.3,95.2,91.7,103.0,98.1,89.3,93.9,94.7,95.8,99.1
2010-12-01,90.8,96.7,127.7,102.4,88.3,100.0,96.1,101.4,102.6,97.3,97.6,100.5,103.1,90.2,99.6,99.2,98.4,95.2,97.6,100.2,86.9,104.8,100.8,94.8,95.8,99.5,103.1,92.7,100.7,105.4,103.8,99.5,97.6,94.0,95.0,96.3,99.6,99.6,92.8,101.9,99.6,98.8,95.8,98.1,105.9,93.1,109.7,101.6,97.6,98.2,100.8,100.5,101.5,98.1,95.5,102.4,95.0,97.7,103.3,94.7,92.2,100.6,95.2,106.3,92.0,95.3,93.6,97.9,91.6,102.7,97.8,100.3,97.7,97.8,97.7,98.8,92.3,95.0,92.9,102.4,98.1,103.1,94.4,94.7,95.6,99.0
2011-03-01,91.6,98.2,118.0,100.3,96.1,100.2,97.4,101.2,103.4,96.0,102.1,98.9,99.9,95.4,99.9,99.5,99.3,95.3,97.4,98.8,86.9,104.5,99.8,97.6,87.2,93.8,101.2,105.4,94.5,105.7,103.1,98.5,99.7,94.0,93.4,97.4,95.9,101.3,94.2,100.5,97.0,106.6,96.6,98.9,107.0,95.1,102.9,101.9,98.6,98.7,101.2,100.7,101.9,98.1,97.0,99.5,96.5,97.9,103.6,95.5,102.9,101.2,95.2,107.3,97.4,95.3,95.2,98.2,97.0,105.0,99.6,100.6,99.1,98.0,98.2,99.0,97.8,95.8,94.9,102.3,98.1,118.9,94.6,94.7,98.9,100.6
2011-06-01,94.7,99.2,110.8,100.4,99.5,100.9,98.0,101.2,103.6,96.0,102.7,98.1,100.6,96.5,100.2,100.5,96.1,96.0,96.0,98.4,86.9,101.7,98.0,98.0,97.2,101.6,99.5,131.4,101.7,105.4,100.9,97.5,99.7,94.0,97.2,99.0,99.1,101.7,96.8,99.1,100.3,108.0,95.5,99.7,104.7,98.7,99.3,102.1,99.5,98.2,99.6,99.8,98.3,97.6,99.5,99.7,98.7,97.9,101.4,98.0,102.8,101.2,97.2,107.4,97.6,95.3,96.6,98.9,97.0,103.6,101.1,100.1,99.6,97.8,98.2,99.3,97.8,96.2,96.1,103.0,98.1,103.7,97.6,94.7,98.9,100.7
2011-09-01,99.7,99.9,107.4,99.0,98.3,99.7,98.4,99.3,99.9,100.2,100.7,99.4,101.2,96.9,100.3,99.5,96.1,98.4,97.0,97.9,100.0,99.3,98.8,99.6,102.1,96.5,100.2,128.8,101.3,103.8,104.5,100.4,100.0,100.0,103.5,98.7,100.9,100.0,97.8,103.4,99.3,102.3,100.1,99.9,103.4,98.5,99.5,101.0,99.3,99.4,99.6,101.4,99.9,98.8,97.6,101.7,98.9,98.6,100.7,98.7,98.1,101.5,99.5,105.7,97.9,100.0,98.1,99.2,97.0,104.8,101.1,100.8,97.9,99.5,98.9,99.2,97.8,100.2,97.9,99.2,98.1,103.4,98.0,100.0,100.3,99.7
2011-12-01,98.9,99.8,102.1,101.0,98.9,99.1,99.0,99.9,101.0,102.1,101.8,101.1,96.8,99.2,100.9,100.1,100.2,99.4,103.7,99.9,100.0,101.4,100.8,98.6,97.5,101.0,98.6,111.4,101.4,99.5,97.9,100.0,98.8,100.0,98.6,99.7,104.2,100.0,99.4,103.2,98.7,100.2,99.7,100.5,100.6,98.2,99.8,99.0,99.9,100.6,100.6,99.5,102.7,99.6,100.6,99.5,98.9,99.0,99.5,101.0,92.6,100.0,99.5,98.9,98.1,100.0,99.4,100.1,97.0,97.2,99.2,99.7,99.6,99.7,99.6,100.3,97.8,99.6,98.8,99.5,98.1,97.1,98.9,100.0,98.9,99.3
2012-03-01,100.6,99.9,97.6,100.2,101.4,100.7,100.6,99.8,102.6,102.1,100.6,101.0,101.2,101.8,96.1,100.2,101.3,100.9,100.6,101.3,100.0,101.1,100.9,100.8,97.4,100.6,99.2,77.7,96.1,99.5,98.4,101.3,98.2,100.0,100.3,100.5,96.5,100.4,100.5,96.6,101.0,100.0,100.1,99.3,98.7,100.0,100.6,99.6,99.9,99.9,101.1,98.9,101.8,99.8,100.7,99.6,100.7,101.1,98.3,100.2,105.6,99.6,99.5,97.8,101.9,100.0,100.6,100.0,103.0,99.1,98.8,99.5,100.9,100.4,100.2,100.4,102.2,100.2,100.8,100.6,101.9,96.5,101.5,100.0,100.8,100.4
2012-06-01,100.8,100.5,92.9,99.8,101.4,100.4,102.0,101.0,96.4,95.6,96.9,98.5,100.8,102.2,102.7,100.2,102.4,101.3,98.7,100.9,100.0,98.1,99.5,101.0,102.9,101.9,102.0,82.0,101.2,97.2,99.2,98.3,103.0,100.0,97.6,101.1,98.5,99.6,102.4,96.8,101.0,97.6,100.1,100.3,97.3,103.3,100.1,100.5,100.9,100.1,98.7,100.2,95.6,101.8,101.1,99.2,101.4,101.2,101.5,100.0,103.7,98.9,101.4,97.5,102.1,100.0,101.9,100.7,103.0,98.9,100.9,100.0,101.7,100.4,101.3,100.1,102.2,100.0,102.5,100.7,101.9,103.0,101.5,100.0,100.0,100.6
