date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,86.3,95.3,142.9,104.0,87.6,104.6,94.6,101.5,101.2,94.8,101.0,100.2,101.8,85.5,101.8,94.7,96.0,92.3,89.2,98.3,93.3,105.3,104.8,94.1,102.2,103.5,100.3,79.8,97.2,109.3,102.1,108.5,103.5,92.1,104.5,94.6,98.7,96.1,87.3,101.4,100.0,84.3,93.2,97.3,110.7,90.2,114.4,105.9,97.6,99.1,103.0,98.9,99.7,93.5,95.0,99.8,94.0,92.3,102.3,93.0,102.9,97.3,89.5,105.9,90.8,93.0,90.9,93.8,92.0,105.3,98.1,99.4,95.7,89.1,93.0,99.5,93.7,91.9,74.0,102.7,94.4,95.9,82.0,85.7,93.6,101.0
2010-06-01,88.2,95.6,140.0,101.3,87.6,106.3,95.1,101.5,101.2,93.2,97.8,100.3,101.9,85.6,102.2,95.0,97.6,93.4,87.2,98.4,93.3,107.2,103.5,94.8,96.8,101.2,106.8,74.3,100.7,108.8,105.7,104.9,97.2,92.1,108.5,94.9,101.5,96.8,87.9,100.3,100.7,88.7,93.1,97.1,106.8,93.3,115.6,103.9,98.7,97.6,103.0,92.6,95.9,93.3,95.0,99.3,94.4,92.3,101.9,97.3,102.4,93.1,89.5,106.1,90.8,93.0,91.7,94.4,92.0,102.2,99.4,98.5,95.7,90.9,93.5,99.4,93.7,91.8,85.7,102.7,94.4,89.0,82.0,85.7,97.9,101.4
2010-09-01,89.5,96.3,133.7,104.4,84.5,106.4,95.2,101.9,102.6,98.2,99.0,100.5,96.7,85.2,102.1,95.0,95.5,93.4,90.6,100.4,94.9,106.6,101.9,95.9,94.8,100.8,104.9,73.0,101.4,106.4,100.2,102.3,97.2,95.1,110.1,95.9,105.7,98.2,88.7,101.8,100.7,88.9,94.8,97.6,110.8,92.7,115.9,105.3,99.7,99.8,102.5,99.5,97.6,94.5,95.5,101.1,96.8,95.4,103.5,96.1,98.3,101.8,95.2,107.0,90.7,96.0,92.6,95.1,92.0,99.6,99.5,99.7,96.0,92.7,93.7,98.8,93.7,92.6,91.4,101.6,95.8,84.4,83.1,89.2,93.3,101.3
2010-12-01,83.2,96.7,125.3,102.0,87.2,103.7,95.9,102.5,104.3,98.2,100.6,101.5,97.3,87.0,97.7,98.8,100.3,94.3,95.2,97.9,94.9,102.8,102.3,94.3,90.1,92.8,101.5,82.7,101.5,103.5,101.2,99.2,98.9,95.1,108.4,95.9,108.4,98.2,88.8,101.2,101.5,91.6,93.3,98.5,107.5,92.6,115.4,104.7,99.7,100.8,103.5,94.9,97.8,94.5,93.7,102.4,99.4,95.4,103.8,94.4,92.4,99.4,95.2,104.9,91.0,96.0,93.9,95.5,92.0,101.4,100.0,101.6,97.4,92.7,94.3,98.8,93.7,92.6,92.7,99.1,95.8,99.4,84.8,89.2,94.9,101.6
2011-03-01,81.9,98.1,118.9,99.3,93.7,102.4,95.8,100.6,102.4,93.3,99.3,100.0,99.6,89.3,100.3,98.8,99.2,96.4,94.3,99.2,94.9,103.0,101.2,97.4,96.7,100.8,100.8,104.8,99.7,104.0,101.5,103.2,99.3,95.1,105.7,96.5,99.5,101.3,89.7,100.0,99.1,97.0,94.3,98.7,102.8,96.7,105.5,103.7,100.3,99.7,103.8,94.7,99.1,94.9,94.3,101.7,100.3,95.4,102.9,94.6,103.5,105.2,95.2,105.7,97.1,96.0,95.6,96.7,97.5,98.9,99.0,101.3,98.5,93.6,96.1,99.0,97.2,94.5,93.7,98.8,95.8,112.6,86.6,89.2,98.8,101.9
2011-06-01,101.6,99.2,113.3,100.5,97.7,102.0,95.7,98.9,98.4,98.4,100.5,100.5,99.6,89.7,98.1,98.8,96.6,96.9,94.0,97.5,94.9,102.5,102.5,99.6,97.5,98.0,99.9,137.9,102.1,105.2,102.8,103.1,102.4,95.1,106.2,97.9,107.2,99.8,89.8,99.1,103.0,103.3,92.9,99.0,101.6,98.1,99.8,104.6,100.3,99.3,98.6,99.8,97.9,97.1,94.7,101.6,100.6,96.6,101.9,98.5,103.0,107.2,97.2,106.6,97.2,96.0,96.3,97.3,97.5,96.3,101.3,101.4,98.6,95.1,96.4,99.3,97.2,94.8,95.6,99.1,95.8,105.9,92.0,89.2,97.8,99.5
2011-09-01,98.7,99.8,109.4,99.0,96.8,99.6,95.1,102.4,96.9,101.5,100.1,100.6,101.8,94.5,101.7,99.2,93.9,98.5,97.6,98.5,100.0,101.8,100.6,99.1,99.9,98.7,99.7,137.1,100.5,101.7,103.4,101.1,101.1,100.0,100.7,99.2,101.8,96.5,98.8,103.1,98.5,99.6,98.2,99.5,104.8,98.5,100.0,100.4,100.4,99.8,100.0,101.3,98.3,97.1,98.3,100.8,98.6,99.8,101.1,98.4,97.9,100.4,99.5,103.8,97.8,100.0,98.0,98.7,97.5,99.1,102.4,100.9,98.1,99.5,99.1,99.2,97.2,99.9,97.9,99.7,100.0,101.7,96.6,100.0,99.5,99.2
2011-12-01,102.0,100.1,103.3,102.5,100.2,98.5,100.2,102.0,100.2,99.9,100.6,101.6,103.3,95.8,102.4,99.2,98.5,99.1,104.1,100.5,100.0,101.2,99.8,97.9,97.4,101.3,95.7,104.7,102.5,100.9,102.2,100.0,100.8,100.0,101.9,100.4,106.2,103.1,99.8,103.2,100.1,98.4,100.2,99.7,97.8,97.1,99.8,101.4,100.4,100.1,99.5,98.6,101.7,97.6,100.9,100.9,98.9,99.8,99.3,102.3,92.7,98.6,99.5,101.0,98.1,100.0,99.8,99.0,97.5,100.2,99.6,99.6,99.7,99.5,99.1,100.3,97.2,100.0,99.0,99.7,100.0,97.8,99.1,100.0,98.3,100.0
2012-03-01,99.3,99.7,95.5,98.8,100.2,100.6,101.5,97.8,101.6,97.6,100.9,97.4,98.4,102.9,96.1,100.8,103.0,100.2,99.7,101.8,100.0,98.0,99.7,102.6,99.5,100.8,102.4,77.8,96.3,99.4,97.8,96.7,97.7,100.0,98.7,100.4,94.3,97.0,100.4,96.8,101.1,100.6,100.0,99.5,98.2,101.6,100.3,99.4,99.8,99.5,101.0,100.1,102.3,102.8,100.0,99.6,101.2,100.2,100.0,102.9,105.1,100.4,99.5,95.6,101.8,100.0,100.6,100.5,102.5,99.4,98.3,100.2,100.4,99.9,100.6,100.4,102.8,99.7,100.5,100.2,100.0,95.9,102.1,100.0,100.4,99.6
2012-06-01,100.0,100.3,91.8,99.7,102.9,101.2,103.1,97.9,101.2,101.1,98.4,100.3,96.5,106.7,99.9,100.8,104.6,102.2,98.6,99.3,100.0,99.0,100.0,100.5,103.2,99.2,102.2,80.4,100.6,98.0,96.7,102.1,100.4,100.0,98.6,100.1,97.7,103.3,101.0,97.0,100.3,101.5,101.6,101.2,99.2,102.8,99.9,98.8,99.5,100.5,99.5,100.0,97.7,102.5,100.8,98.7,101.2,100.2,99.5,96.3,104.3,100.6,101.4,99.6,102.3,100.0,101.6,101.8,102.5,101.3,99.7,99.4,101.8,101.0,101.3,100.0,102.8,100.4,102.6,100.4,100.0,104.6,102.1,100.0,101.8,101.2
